datetime,station_id,line_id,passenger_count,weather,temperature,hour,day,month,year,weekday,is_weekend,is_holiday
2023-12-04 08:42:00,S4,L2,21,rainy,16.1,8,4,12,2023,0,0,0
2023-11-09 08:47:00,S5,L3,21,sunny,26.9,8,9,11,2023,3,0,0
2023-11-06 14:50:00,S3,L2,22,sunny,28.7,14,6,11,2023,0,0,0
2023-09-06 07:04:00,S5,L2,22,rainy,25.4,7,6,9,2023,2,0,0
2023-07-08 08:13:00,S5,L3,18,sunny,27.6,8,8,7,2023,5,1,0
2023-09-17 08:40:00,S2,L1,12,rainy,32.2,8,17,9,2023,6,1,0
2023-12-15 18:06:00,S3,L1,23,cloudy,25.2,18,15,12,2023,4,0,0
2023-10-01 16:05:00,S3,L1,19,rainy,25.9,16,1,10,2023,6,1,0
2023-12-26 05:00:00,S3,L1,19,sunny,26.9,5,26,12,2023,1,0,0
2023-04-14 04:49:00,S5,L3,17,sunny,25.4,4,14,4,2023,4,0,0
2023-09-10 23:16:00,S4,L3,21,rainy,25.4,23,10,9,2023,6,1,0
2023-07-23 01:24:00,S3,L3,17,rainy,35.5,1,23,7,2023,6,1,0
2023-06-28 02:10:00,S5,L2,16,sunny,27.6,2,28,6,2023,2,0,0
2023-05-20 20:29:00,S2,L3,19,sunny,25.5,20,20,5,2023,5,1,0
2023-02-25 07:04:00,S4,L1,22,sunny,33.9,7,25,2,2023,5,1,0
2023-10-07 16:38:00,S2,L2,13,cloudy,32.4,16,7,10,2023,5,1,0
2023-12-02 05:29:00,S4,L1,21,cloudy,30.1,5,2,12,2023,5,1,0
2023-08-26 22:14:00,S5,L1,11,rainy,24.0,22,26,8,2023,5,1,0
2023-05-07 08:18:00,S1,L3,28,rainy,40.7,8,7,5,2023,6,1,0
2023-01-19 21:15:00,S4,L3,31,cloudy,19.2,21,19,1,2023,3,0,0
2023-08-19 00:42:00,S2,L1,20,cloudy,18.1,0,19,8,2023,5,1,0
2023-10-23 20:10:00,S5,L1,18,rainy,28.9,20,23,10,2023,0,0,0
2023-01-22 08:33:00,S4,L2,14,cloudy,25.2,8,22,1,2023,6,1,0
2023-08-18 23:43:00,S1,L3,22,rainy,14.6,23,18,8,2023,4,0,0
2023-05-21 15:32:00,S1,L2,24,sunny,26.3,15,21,5,2023,6,1,0
2023-11-30 10:10:00,S3,L2,22,rainy,27.4,10,30,11,2023,3,0,0
2023-08-13 15:20:00,S3,L2,12,cloudy,26.2,15,13,8,2023,6,1,0
2023-06-27 16:15:00,S2,L1,15,cloudy,28.5,16,27,6,2023,1,0,0
2023-06-25 04:26:00,S4,L2,23,cloudy,24.7,4,25,6,2023,6,1,0
2023-05-21 11:42:00,S4,L2,17,rainy,26.3,11,21,5,2023,6,1,0
2023-07-27 16:12:00,S3,L1,18,cloudy,33.5,16,27,7,2023,3,0,0
2023-02-15 17:08:00,S4,L3,23,rainy,31.8,17,15,2,2023,2,0,0
2023-04-29 19:32:00,S4,L3,25,sunny,26.0,19,29,4,2023,5,1,1
2023-03-09 10:03:00,S1,L2,13,sunny,29.7,10,9,3,2023,3,0,1
2023-02-02 10:01:00,S3,L1,20,cloudy,31.4,10,2,2,2023,3,0,0
2023-07-11 12:27:00,S5,L3,19,rainy,22.3,12,11,7,2023,1,0,0
2023-05-06 18:58:00,S3,L2,17,rainy,28.7,18,6,5,2023,5,1,0
2023-06-15 08:08:00,S5,L2,18,cloudy,27.8,8,15,6,2023,3,0,1
2023-09-08 23:54:00,S1,L1,22,rainy,30.3,23,8,9,2023,4,0,0
