year,avg_median_aqi,avg_90th_percentile_aqi,storm_count,avg_wind_speed,max_wind_speed,min_wind_speed,std_wind_speed,median_wind_speed
1980,51.0,140.0,459,51.071895424836605,165,-99,32.084584833750064,40.0
1981,44.0,143.0,455,42.05714285714286,115,-99,27.666218299409117,35.0
1982,48.0,115.0,141,44.04255319148936,115,20,22.84196399500131,30.0
1983,45.0,129.0,135,38.925925925925924,100,20,17.356933162296908,30.0
1984,47.0,122.0,422,43.13744075829384,115,-99,23.273139504874415,40.0
1985,45.0,97.0,373,48.37801608579088,125,20,23.537530071355306,40.0
1986,46.0,122.0,232,40.78448275862069,90,-99,24.183571409910268,40.0
1987,39.0,57.0,370,33.413513513513514,110,-99,19.342984164865978,30.0
1988,33.0,56.0,430,46.627906976744185,160,15,29.310668762437853,30.0
1989,28.0,46.0,452,51.43805309734513,140,15,28.889853729801494,40.0
1990,47.0,119.0,503,44.035785288270375,105,15,18.60992730112103,40.0
1991,22.0,34.0,242,41.34297520661157,115,10,21.338852129356745,35.0
1992,25.0,45.0,259,52.972972972972975,150,20,28.59506183385887,45.0
1993,44.0,84.0,224,44.50892857142857,100,20,19.459741372199726,35.0
1994,38.0,74.0,234,38.24786324786325,95,10,17.01194025661163,35.0
1995,42.0,100.0,762,54.02230971128609,130,20,25.300990219565502,50.0
1996,45.0,93.0,544,54.255514705882355,125,15,26.37118116526729,45.0
1997,48.0,100.0,197,45.964467005076145,110,20,21.07648259837416,40.0
1998,54.0,115.0,539,57.47680890538033,155,20,26.505539159859854,50.0
1999,58.0,122.0,457,58.55579868708971,135,20,29.327133532918435,50.0
2000,54.0,129.0,449,50.82405345211581,120,20,22.73169889000178,45.0
2001,43.0,84.0,489,47.740286298568506,125,10,23.036767491886586,45.0
2002,38.0,68.0,400,42.5,125,10,20.689856824990265,35.0
2003,41.0,77.0,593,50.640809443507585,145,15,29.650454978377248,40.0
2004,43.0,83.0,604,58.11258278145695,145,15,33.50696926023605,45.0
2005,46.0,80.0,873,51.09392898052692,160,10,28.425427502445515,45.0
2006,46.0,97.0,398,48.70603015075377,105,15,19.0953200596494,45.0
2007,43.0,87.0,373,44.9597855227882,150,15,28.46306778811562,35.0
2008,37.0,68.0,556,51.18705035971223,135,15,24.111846991427264,45.0
2009,36.0,53.0,265,45.0,115,20,23.5849528301415,35.0
2010,43.0,71.0,663,49.26093514328809,135,15,25.77171035677122,40.0
2011,42.0,74.0,557,48.33931777378815,120,15,20.145106201017587,45.0
2012,38.0,61.0,654,47.522935779816514,100,20,17.275674723629912,45.0
2013,36.0,54.0,330,37.24242424242424,80,20,11.874547639517878,35.0
2014,38.0,59.0,300,48.733333333333334,125,15,24.662854868332058,40.0
2015,38.0,53.0,339,42.75811209439528,135,15,23.002840395215383,35.0
2016,37.0,51.0,586,49.77815699658703,145,20,25.376520556843307,45.0
2017,36.0,51.0,610,57.72950819672131,155,15,33.28190701767409,45.0
2018,35.0,50.0,608,48.42927631578947,140,15,21.754772200110782,45.0
2019,37.0,52.0,463,53.07775377969762,160,15,28.26854832460986,45.0
2020,36.0,49.0,863,46.43105446118192,135,15,22.195546462331844,40.0
2021,32.0,42.0,592,49.72128378378378,135,15,25.674620644107343,40.0
